mapX,mapY,pixelX,pixelY,enable
80.00598957,9.811844246,903.6142113,-976.3988095,1
104.7192708,8.627883595,1232.596726,-991.9754464,1
119.6143229,11.05958122,1427.403274,-944.6540179,1
51.37526041,10.42916721,517.6488095,-968.5119048,1
56.34817708,26.14053543,579.0680804,-714.5535714,1
34.22161458,27.78149164,293.6607143,-690.3013393,1
18.37317708,39.80438489,112.5576637,-495.1990327,1
13.91432291,44.80205439,77.26376488,-416.3299851,1
9.196614582,41.38775066,12.39397321,-465.7217262,1
13.00286458,55.41238611,91.46019345,-244.3954613,1
10.59661458,59.35015347,77.16517857,-175.187872,1
24.52734375,58.37174859,213.0171131,-201.2146577,1
25.25651041,65.24073341,231.3541667,-89.61495536,1
32.38776041,67.0902535,299.3787202,-62.40513393,1
43.32526041,68.63920341,406.7392113,-37.85714286,1
78.68984374,67.56245192,724.8772321,-39.43452381,1
60.54817707,69.70709081,556.3932292,-15.5766369,1
142.5429687,54.29593525,1468.415179,-191.3560268,1
156.9367187,57.81098663,1579.029018,-110.7124256,1
160.2325521,60.6014158,1583.761161,-59.25037202,1
135.1856771,54.811829,1380.673363,-189.7786458,1
145.3502604,43.66051281,1586.324405,-364.8679315,1
126.5888021,33.3833982,1433.318452,-563.125,1
70.41380207,22.94406519,759.9246652,-763.9453125,1
54.69661458,40.82735799,538.499814,-477.6506696,1
39.28203124,47.13539849,359.7628348,-379.5572917,1
74.17630207,45.05243649,755.2911086,-403.0208333,1
79.12005207,46.76706989,809.7107515,-377.1912202,1
103.6783854,51.69443293,1065.640811,-279.5907738,1
109.9054687,55.90189059,1102.314918,-207.2284226,1
116.3914062,39.90654009,1280.953311,-460.0037202,1
